Destino,Periodo,Visitantes,Nacional ,Internacional ,Porcentaje Ocupacion promedio ,Oferta hotelera cuartos 
Cancun ,2016_07,496184,261497,234687,86.06,31771
Cancun ,2016_06,401667,152431,249236,78.72,31713
Cancun ,2016_05,386304,149185,237119,73.24,31661
Cancun ,2016_04,451216,128736,322480,78.74,31770
Cancun ,2016_03,558036,126799,431237,83.88,31310
Cancun ,2016_02,423891,90809,333082,80.32,31700
Cancun ,2016_01,401693,112926,288767,78.63,31713
Cancun ,2015_12,420475,154228,266247,75.71,31711
Cancun ,2015_11,414036,159280,254756,75.2,31697
Cancun ,2015_10,470409,177006,293403,64.74,31686
Cancun ,2015_9,408463,164622,243841,63.47,31689
Cancun ,2015_8,768914,308066,460848,79.23,32050
Cancun ,2015_7,639077,350300,288777,86.14,32039
Cancun ,2015_6,508374,176300,332074,78.32,32036
Cancun ,2015_5,481768,183711,298057,75.79,32155
Cancun ,2015_4,569973,196677,373296,80.82,32144
Cancun ,2015_3,564002,125537,438465,82.3,31986
Cancun ,2015_2,499485,94242,405243,81.93,31633
Cancun ,2015_1,484076,132693,351383,80.79,30949
Cancun ,2014_12,387020,144442,242578,77.06,32129
Cancun ,2014_11,418335,139966,278369,75.19,31686
Cancun ,2014_10,336341,108620,227721,64.35,30880
Cancun ,2014_9,323922,118993,204929,57.75,28976
Cancun ,2014_8,769483,301552,467931,77.21,30835
Cancun ,2014_7,631666,353559,278107,82.33,30292
Cancun ,2014_6,522984,162794,360190,73.57,30042
Cancun ,2014_5,558684,197758,360926,74.81,30301
Cancun ,2014_4,610647,201518,409129,75.95,30596
Cancun ,2014_3,558213,108017,450196,81.97,30084
Cancun ,2014_2,481709,86421,395288,82.46,29851
Cancun ,2014_1,421819,94723,327096,80.1,30208
Cancun ,2013_12,370463,145410,225053,74.36,30183
Cancun ,2013_11,321347,119283,202064,65.8,30181
Cancun ,2013_10,261348,91281,170067,53.71,29917
Cancun ,2013_9,272891,102259,170632,53.77,30263
Cancun ,2013_8,409435,186051,223384,72.45,29966
Cancun ,2013_7,444479,270880,173599,83.72,30035
Cancun ,2013_6,417305,136256,281049,71.27,30019
Cancun ,2013_5,335396,128130,207266,66.18,30027
Cancun ,2013_4,328188,112584,215604,73.05,30027
Cancun ,2013_3,440237,136222,304015,80.9,30030
Cancun ,2013_2,385574,75274,310300,77.52,30009
Cancun ,2013_1,430247,97233,333014,74.98,30002
Cancun ,2012_12,399032,143092,255940,69.57,29694
Cancun ,2012_11,335033,110226,224807,62.27,29823
Cancun ,2012_10,281155,108134,173021,50.04,29428
Cancun ,2012_9,278934,112405,166529,49.98,29394
Cancun ,2012_8,457899,232174,225725,65.92,30015
Cancun ,2012_7,469428,284371,185057,75.17,29478
Cancun ,2012_6,329800,144398,185402,62.87,28585
Cancun ,2012_5,365118,160899,204219,62.54,28603
Cancun ,2012_4,392649,195223,197426,69.86,28969
Cancun ,2012_3,410183,159065,251118,74.86,28864
Cancun ,2012_2,351900,125870,226030,71.63,28760
Cancun ,2012_1,339959,112357,227602,66.4,28859
Ixtapa,2016_07,107731,101168,6563,68.52,5348
Ixtapa,2016_06,83406,79204,4202,52.94,5243
Ixtapa,2016_05,77969,74466,3503,50.43,5254
Ixtapa,2016_04,84966,76381,8585,52.72,5247
Ixtapa,2016_03,89368,67607,21761,69.26,5320
Ixtapa,2016_02,82430,58708,23722,79.59,5189
Ixtapa,2016_01,88281,68212,20069,77.3,5191
Ixtapa,2015_12,81932,72103,9829,62.63,5194
Ixtapa,2015_11,58467,52811,5656,44.3,5072
Ixtapa,2015_10,54788,52284,2504,37.51,4829
Ixtapa,2015_9,44480,43090,1390,32.3,4972
Ixtapa,2015_8,88743,84029,4714,61.97,5037
Ixtapa,2015_7,92895,88256,4639,68.36,5114
Ixtapa,2015_6,59249,55368,3881,45.07,4959
Ixtapa,2015_5,76036,72398,3638,48.24,5012
Ixtapa,2015_4,96198,84424,11774,56.64,5060
Ixtapa,2015_3,80170,53083,27087,64.34,5085
Ixtapa,2015_2,73905,44172,29733,69.14,5102
Ixtapa,2015_1,78687,57118,21569,68.69,5073
Ixtapa,2014_12,66044,56928,9116,58.94,5081
Ixtapa,2014_11,50643,45384,5259,64.93,5023
Ixtapa,2014_10,36965,34912,2053,49.62,4949
Ixtapa,2014_9,31921,30616,1305,52.16,4975
Ixtapa,2014_8,55568,53381,2187,46.34,5051
Ixtapa,2014_7,62161,58727,3434,37.11,5147
Ixtapa,2014_6,39568,37334,2234,53.91,5026
Ixtapa,2014_5,56261,53758,2503,49.62,5031
Ixtapa,2014_4,54074,49558,4516,26.58,5103
Ixtapa,2014_3,46151,36155,9996,29.45,5099
Ixtapa,2014_2,50684,20111,30573,44.67,5173
Ixtapa,2014_1,49017,30222,18795,58.23,5104
Ixtapa,2013_12,52508,44357,8151,53.39,5151
Ixtapa,2013_11,35311,30629,4682,35.41,5021
Ixtapa,2013_10,21305,19527,1778,18.22,4985
Ixtapa,2013_9,23310,22472,838,21.48,4964
Ixtapa,2013_8,51362,48719,2643,47.21,5058
Ixtapa,2013_7,72775,68149,4626,65.45,5178
Ixtapa,2013_6,55794,52900,2894,46.89,5036
Ixtapa,2013_5,53207,50233,2974,42.78,4988
Ixtapa,2013_4,50597,45982,4615,48.73,5051
Ixtapa,2013_3,49089,36530,12559,54.47,5120
Ixtapa,2013_2,32632,20179,12453,53.11,5106
Ixtapa,2013_1,40581,28185,12396,54.22,5150
Ixtapa,2012_12,50232,43666,6566,58.47,5164
Ixtapa,2012_11,49460,45966,3494,44.58,5048
Ixtapa,2012_10,30503,28726,1777,29.2,5021
Ixtapa,2012_9,28395,26575,1820,25.4,4983
Ixtapa,2012_8,52343,49447,2896,50.84,5077
Ixtapa,2012_7,74830,67824,7006,63.46,5181
Ixtapa,2012_6,44812,42446,2366,44.65,5018
Ixtapa,2012_5,49775,46950,2825,44.16,4992
Ixtapa,2012_4,63505,58630,4875,62.62,5181
Ixtapa,2012_3,53752,44503,9249,57.83,5114
Ixtapa,2012_2,34770,25137,9633,55.32,5092
Ixtapa,2012_1,41039,34070,6969,56.57,5105
Los Cabos,2016_07,147963,44077,103886,74.12,12622
Los Cabos,2016_06,128347,31910,96437,69.96,12611
Los Cabos,2016_05,120078,30898,89180,64.05,12570
Los Cabos,2016_04,116178,21741,94437,71.23,12575
Los Cabos,2016_03,138076,27388,110688,79.31,12565
Los Cabos,2016_02,113484,18072,95412,77.14,12552
Los Cabos,2016_01,117570,17882,99688,68.92,12562
Los Cabos,2015_12,112291,24754,87537,64.08,12465
Los Cabos,2015_11,106541,22982,83559,68.96,12183
Los Cabos,2015_10,98477,24970,73507,61.65,12165
Los Cabos,2015_9,68281,21429,46852,42.75,12141
Los Cabos,2015_8,107498,34652,72846,63.24,11504
Los Cabos,2015_7,127481,46349,81132,74.88,11512
Los Cabos,2015_6,112354,28634,83720,70.51,11129
Los Cabos,2015_5,112352,30399,81953,71.09,11092
Los Cabos,2015_4,110873,29803,81070,79.76,11068
Los Cabos,2015_3,114616,23455,91161,82.93,11064
Los Cabos,2015_2,97110,18678,78432,85.43,10691
Los Cabos,2015_1,107683,29924,77759,79.73,10516
Los Cabos,2014_12,91896,29817,62079,72.49,10339
Los Cabos,2014_11,62418,17634,44784,44.23,12899
Los Cabos,2014_10,28454,14647,13807,25.6,11152
Los Cabos,2014_9,63730,26257,37473,36.38,11921
Los Cabos,2014_8,126376,38231,88145,62.06,13079
Los Cabos,2014_7,154212,46831,107381,72.58,13100
Los Cabos,2014_6,132673,30672,102001,66.97,13006
Los Cabos,2014_5,131738,32222,99516,68.24,12999
Los Cabos,2014_4,146210,40561,105649,76.8,13079
Los Cabos,2014_3,157173,26863,130310,82.22,12907
Los Cabos,2014_2,126165,20846,105319,79.23,12925
Los Cabos,2014_1,110178,21453,88725,67.91,12848
Los Cabos,2013_12,123777,25925,97852,65.94,12934
Los Cabos,2013_11,117646,32417,85229,66.05,12958
Los Cabos,2013_10,113582,24407,89175,59.64,12919
Los Cabos,2013_9,82383,24116,58267,43.2,12871
Los Cabos,2013_8,124992,34840,90152,61.5,12881
Los Cabos,2013_7,159479,49991,109488,73.47,12874
Los Cabos,2013_6,116852,31241,85611,64.42,11719
Los Cabos,2013_5,113618,28883,84735,63.69,12123
Los Cabos,2013_4,111897,22309,89588,69.74,12126
Los Cabos,2013_3,146826,30492,116334,82.75,12128
Los Cabos,2013_2,110632,21234,89398,76.7,12052
Los Cabos,2013_1,99814,19425,80389,64.01,11956
Los Cabos,2012_12,113397,28207,85190,62.3,12060
Los Cabos,2012_11,114891,28382,86509,66.01,12088
Los Cabos,2012_10,95493,23821,71672,56.14,12065
Los Cabos,2012_9,72206,23379,48827,40.82,11990
Los Cabos,2012_8,103020,35777,67243,53.94,12049
Los Cabos,2012_7,126730,51633,75097,63.96,12096
Los Cabos,2012_6,102428,33413,69015,63.2,12077
Los Cabos,2012_5,101924,29775,72149,58.12,12216
Los Cabos,2012_4,116765,34121,82644,69.02,12129
Los Cabos,2012_3,125258,25465,99793,74.3,12117
Los Cabos,2012_2,104928,19820,85108,74.28,11776
Los Cabos,2012_1,90985,16493,74492,62.35,11923
Loreto,2016_07,11897,8840,3057,38.92,893
Loreto,2016_06,7994,5830,2164,25.21,893
Loreto,2016_05,7736,5213,2523,23.37,889
Loreto,2016_04,8857,4945,3912,28.66,893
Loreto,2016_03,14515,8523,5992,50.02,900
Loreto,2016_02,9485,5154,4331,37.15,899
Loreto,2016_01,7317,4391,2926,23.46,894
Loreto,2015_12,9019,6555,2464,25.07,898
Loreto,2015_11,6260,4207,2053,21.13,893
Loreto,2015_10,6427,4449,1978,21.6,886
Loreto,2015_9,4963,4109,854,14.45,892
Loreto,2015_8,7920,6175,1745,25.8,901
Loreto,2015_7,9296,7314,1982,33.38,904
Loreto,2015_6,6716,5186,1530,21.95,883
Loreto,2015_5,7153,5007,2146,22.08,880
Loreto,2015_4,8030,5570,2460,32.5,886
Loreto,2015_3,6750,3621,3129,30.02,886
Loreto,2015_2,5660,3451,2209,22.86,971
Loreto,2015_1,6032,4309,1723,22.78,885
Loreto,2014_12,6005,4762,1243,18.14,885
Loreto,2014_11,6887,5331,1556,27.12,886
Loreto,2014_10,4709,4033,676,16.51,969
Loreto,2014_9,5585,4154,1431,17.67,886
Loreto,2014_8,7950,6097,1853,25.15,971
Loreto,2014_7,8695,6226,2469,28.01,971
Loreto,2014_6,6658,4728,1930,20.84,971
Loreto,2014_5,7744,5915,1829,22.9,971
Loreto,2014_4,10205,7485,2720,31.03,971
Loreto,2014_3,8904,5216,3688,27.55,971
Loreto,2014_2,7798,5105,2693,27.71,958
Loreto,2014_1,6041,4078,1963,22.19,939
Loreto,2013_12,8453,6958,1495,25.17,895
Loreto,2013_11,7178,5252,1926,25.31,902
Loreto,2013_10,7528,5169,2359,26.08,953
Loreto,2013_9,6333,4734,1599,20.58,953
Loreto,2013_8,8819,6809,2010,32.07,902
Loreto,2013_7,10432,8273,2159,34.12,902
Loreto,2013_6,6022,3914,2108,22.81,916
Loreto,2013_5,5718,3803,1915,22.14,894
Loreto,2013_4,6585,4276,2309,26.39,894
Loreto,2013_3,9780,6810,2970,33.79,899
Loreto,2013_2,7393,4769,2624,27.06,894
Loreto,2013_1,5949,4207,1742,20.93,845
Loreto,2012_12,5874,4114,1760,21.43,845
Loreto,2012_11,7499,4085,3414,31.28,845
Loreto,2012_10,7276,4737,2539,28.25,845
Loreto,2012_9,5797,4298,1499,21.7,846
Loreto,2012_8,9670,6776,2894,32.39,845
Loreto,2012_7,11693,8648,3045,39.17,845
Loreto,2012_6,8188,6504,1684,26.55,909
Loreto,2012_5,5586,4038,1548,18.84,887
Loreto,2012_4,8382,6571,1811,32.28,799
Loreto,2012_3,6736,4621,2115,26.68,747
Loreto,2012_2,7214,4955,2259,27.78,747
Loreto,2012_1,5948,4382,1566,21.66,734
Huatulco,2016_07,43315,41492,1823,55.71,3669
Huatulco,2016_06,26523,24867,1656,38.45,3670
Huatulco,2016_05,40582,39098,1484,49.19,3670
Huatulco,2016_04,33946,30486,3460,54.62,3649
Huatulco,2016_03,44269,37472,6797,72.15,3649
Huatulco,2016_02,28962,21450,7512,71.29,3650
Huatulco,2016_01,41866,33631,8235,76.27,3650
Huatulco,2015_12,51226,45600,5626,67.4,3650
Huatulco,2015_11,37485,34356,3129,54.63,3651
Huatulco,2015_10,27458,26508,950,32.97,3635
Huatulco,2015_9,22285,21525,760,33.16,3634
Huatulco,2015_8,43570,42279,1291,53.76,3630
Huatulco,2015_7,48609,46852,1757,61.28,3633
Huatulco,2015_6,28598,27227,1371,39.99,3634
Huatulco,2015_5,40088,38644,1444,49.16,3633
Huatulco,2015_4,45271,42497,2774,61.93,3629
Huatulco,2015_3,43745,34556,9189,68.59,3528
Huatulco,2015_2,32197,23165,9032,72.81,3528
Huatulco,2015_1,37282,30020,7262,75.29,3529
Huatulco,2014_12,45620,39959,5661,69.32,3514
Huatulco,2014_11,38559,33913,4646,60.01,3490
Huatulco,2014_10,28496,26628,1868,34.66,3551
Huatulco,2014_9,20217,19420,797,28.82,3508
Huatulco,2014_8,33023,31561,1462,45.44,3514
Huatulco,2014_7,44683,42918,1765,57.46,3515
Huatulco,2014_6,24440,23317,1123,35.56,3512
Huatulco,2014_5,36202,33238,2964,46.28,3511
Huatulco,2014_4,39892,36348,3544,58.7,3517
Huatulco,2014_3,31469,25726,5743,63.45,3511
Huatulco,2014_2,26892,20882,6010,69.9,3506
Huatulco,2014_1,33240,26735,6505,70.28,3511
Huatulco,2013_12,35101,29709,5392,65.24,3421
Huatulco,2013_11,28880,26056,2824,47.86,3416
Huatulco,2013_10,20204,19341,863,28.09,3415
Huatulco,2013_9,17148,16406,742,26.33,3416
Huatulco,2013_8,29214,27683,1531,44.57,3418
Huatulco,2013_7,46331,44778,1553,64.96,3440
Huatulco,2013_6,26436,25026,1410,40.81,3416
Huatulco,2013_5,36047,34657,1390,49.99,3409
Huatulco,2013_4,36707,33136,3571,53.44,3416
Huatulco,2013_3,43142,35811,7331,68.09,3416
Huatulco,2013_2,31833,23875,7958,67.77,3416
Huatulco,2013_1,38321,30108,8213,68.02,3417
Huatulco,2012_12,43566,38739,4827,64.66,3415
Huatulco,2012_11,40494,37709,2785,50.48,3348
Huatulco,2012_10,25767,25046,721,30.92,3348
Huatulco,2012_9,22283,21152,1131,27.97,3348
Huatulco,2012_8,36379,35053,1326,47.63,3348
Huatulco,2012_7,50263,47761,2502,61.79,3348
Huatulco,2012_6,29678,28111,1567,37.87,3348
Huatulco,2012_5,39816,38577,1239,41.78,3348
Huatulco,2012_4,47914,43978,3936,61.68,3348
Huatulco,2012_3,35724,30871,4853,56.95,3348
Huatulco,2012_2,28058,23123,4935,55.73,3348
Huatulco,2012_1,32688,27113,5575,55.77,3348
